t_id	chr	strand	start	end	t_name	num_exons	length	gene_id	gene_name	cov	FPKM 	*
262	2L	+	476220	540532	FBtr0333012	8	4242	FBgn0003963	ush	0.000000	0.000000 	Q9VPQ6
263	2L	+	476220	540532	FBtr0333013	9	6084	FBgn0003963	ush	0.275312	0.413762 	Q9VPQ6
264	2L	-	476446	479688	FBtr0078083	2	2041	FBgn0043364	cbt	29.945137	45.004070 	*
265	2L	-	476446	479688	FBtr0078084	1	3243	FBgn0043364	cbt	0.048713	0.073210 	*
266	2L	-	476446	479688	FBtr0310030	2	2361	FBgn0043364	cbt	0.000000	0.000000 	*
267	2L	+	490835	540532	FBtr0310027	8	4654	FBgn0003963	ush	0.000000	0.000000 	Q9VPQ6
268	2L	+	523466	540560	FBtr0078063	8	4752	FBgn0003963	ush	0.000000	0.000000 	Q9VPQ6
269	2L	+	523736	540560	FBtr0329895	8	4482	FBgn0003963	ush	0.000000	0.000000 	Q9VPQ6
270	2L	-	540599	542580	FBtr0310028	3	1363	FBgn0010602	lwr	0.692887	1.041329 	*
271	2L	-	541237	542580	FBtr0078082	2	1294	FBgn0010602	lwr	1.768269	2.657503 	*
272	2L	-	541393	542580	FBtr0078081	2	1109	FBgn0010602	lwr	101.307327	152.253174 	*
273	2L	-	541393	542580	FBtr0310029	2	1105	FBgn0010602	lwr	1.952034	2.933681 	*
274	2L	-	542786	544653	FBtr0078080	3	1736	FBgn0031260	Spp	50.201038	75.446342 	*
275	2L	-	544925	552454	FBtr0344014	4	4461	FBgn0005660	Ets21C	0.000000	0.000000 	P29776
276	2L	+	545129	547096	FBtr0078064	4	1532	FBgn0031261	nAChRbeta3	0.000000	0.000000 	*
277	2L	-	547016	549502	FBtr0112854	3	1603	FBgn0005660	Ets21C	0.000000	0.000000 	P29776
278	2L	-	547016	552454	FBtr0078079	3	2423	FBgn0005660	Ets21C	0.000000	0.000000 	P29776
279	2L	-	547016	552923	FBtr0345429	3	2892	FBgn0005660	Ets21C	0.000000	0.000000 	P29776
280	2L	-	553742	559079	FBtr0078078	6	5024	FBgn0260933	rempA	0.000000	0.000000 	*
281	2L	-	553742	560310	FBtr0303763	6	5308	FBgn0260933	rempA	0.337227	0.506813 	*
282	2L	+	559612	560523	FBtr0078066	2	853	FBgn0031263	CG2789	10.686987	16.061304 	*
283	2L	-	560568	563347	FBtr0078076	2	2716	FBgn0031264	CG11835	0.000000	0.000000 	*
284	2L	-	560568	563347	FBtr0332341	2	2693	FBgn0031264	CG11835	0.000000	0.000000 	*
285	2L	-	560568	563347	FBtr0332342	1	2780	FBgn0031264	CG11835	0.028777	0.043248 	*
286	2L	-	560568	563819	FBtr0345577	2	3183	FBgn0031264	CG11835	0.000000	0.000000 	*
287	2L	+	564163	566472	FBtr0078067	1	2310	FBgn0031265	CG2794	8.132136	12.221659 	*
288	2L	-	566366	568121	FBtr0078075	4	1584	FBgn0021874	Nle	0.853535	1.282764 	Q9VPR4
289	2L	+	568340	572716	FBtr0078068	3	4155	FBgn0031266	CG2807	30.877977	46.406021 	*
290	2L	+	568340	572907	FBtr0332340	3	4346	FBgn0031266	CG2807	1.163140	1.748065 	*
291	2L	-	573033	574264	FBtr0078074	1	1232	FBgn0031267	Ipk2	18.322241	27.536207 	*
292	2L	+	574291	575734	FBtr0310022	4	1032	FBgn0031268	cold	0.000000	0.000000 	*
293	2L	+	574508	575734	FBtr0078069	3	1093	FBgn0031268	cold	28.185726	42.359882 	*
294	2L	-	575711	576550	FBtr0333746	3	673	FBgn0013323	Ptth	0.000000	0.000000 	*
295	2L	-	575711	576550	FBtr0346726	2	782	FBgn0013323	Ptth	0.000000	0.000000 	*
296	2L	-	575711	576896	FBtr0346650	3	1019	FBgn0013323	Ptth	0.000000	0.000000 	*
297	2L	+	577486	579549	FBtr0078070	3	1880	FBgn0023489	Pph13	0.000000	0.000000 	*
298	2L	-	583544	594685	FBtr0343220	3	2362	FBgn0010323	Gsc	0.000000	0.000000 	P54366
299	2L	-	583544	594685	FBtr0343221	3	2362	FBgn0010323	Gsc	0.000000	0.000000 	P54366
300	2L	+	602813	603562	FBtr0078071	2	683	FBgn0031270	CG13689	10.172345	15.287856 	*
301	2L	+	602813	604430	FBtr0310023	2	1494	FBgn0031270	CG13689	0.026966	0.040527 	*
302	2L	+	605914	606412	FBtr0343219	1	499	FBgn0263657	CR43648	0.000000	0.000000 	*
303	2L	-	608340	609134	FBtr0310101	1	795	FBgn0263658	CR43649	0.000000	0.000000 	*
304	2L	-	620298	621201	FBtr0308305	1	904	FBgn0040106	lectin-21Cb	0.000000	0.000000 	*
305	2L	+	623107	623665	FBtr0343248	1	559	FBgn0266032	CR44797	0.000000	0.000000 	*
306	2L	-	623900	624323	FBtr0343250	1	424	FBgn0266033	CR44798	0.000000	0.000000 	*
307	2L	+	624617	625556	FBtr0077998	1	940	FBgn0040107	lectin-21Ca	0.000000	0.000000 	*
308	2L	+	625652	628200	FBtr0077999	1	2549	FBgn0031273	CG2839	0.000000	0.000000 	*
309	2L	+	628729	629052	FBtr0345777	1	324	FBgn0266909	CR45369	0.000000	0.000000 	*
310	2L	-	640013	714983	FBtr0078045	12	12427	FBgn0000497	ds	0.000000	0.000000 	*
311	2L	-	640306	714983	FBtr0343249	12	12134	FBgn0000497	ds	0.000000	0.000000 	*
312	2L	+	710568	715307	FBtr0344054	2	549	FBgn0266323	CR44988	0.000000	0.000000 	*
313	2L	+	728362	730564	FBtr0078000	1	2203	FBgn0011244	Hsp60B	0.000000	0.000000 	Q9VPS5
314	2L	-	737212	741791	FBtr0301316	6	3398	FBgn0026438	Eaat2	0.000000	0.000000 	*
315	2L	-	737212	744395	FBtr0078043	8	3057	FBgn0026438	Eaat2	0.000000	0.000000 	*
316	2L	-	737212	744395	FBtr0301317	8	3169	FBgn0026438	Eaat2	0.000000	0.000000 	*
317	2L	+	749945	762142	FBtr0343785	11	5991	FBgn0031275	GABA-B-R3	0.869574	1.306869 	*
318	2L	+	750609	762142	FBtr0308257	11	5730	FBgn0031275	GABA-B-R3	0.000000	0.000000 	*
319	2L	+	750609	762399	FBtr0343787	11	5987	FBgn0031275	GABA-B-R3	0.000000	0.000000 	*
320	2L	+	752800	757520	FBtr0301439	6	2359	FBgn0031275	GABA-B-R3	0.000000	0.000000 	*
321	2L	+	752800	762142	FBtr0078001	10	5466	FBgn0031275	GABA-B-R3	0.000000	0.000000 	*
322	2L	+	752800	762142	FBtr0343786	10	5633	FBgn0031275	GABA-B-R3	0.000000	0.000000 	*
323	2L	+	752800	762142	FBtr0346526	10	5800	FBgn0031275	GABA-B-R3	0.000000	0.000000 	*
324	2L	+	772514	773093	FBtr0342660	1	580	FBgn0265825	CR44614	0.000000	0.000000 	*
325	2L	+	773547	774017	FBtr0078003	1	471	FBgn0031276	CG12506	0.000000	0.000000 	*
326	2L	+	776536	776941	FBtr0078004	1	406	FBgn0040725	CG13946	0.000000	0.000000 	*
327	2L	+	779173	779655	FBtr0078005	1	483	FBgn0031277	CG13947	0.000000	0.000000 	*
328	2L	+	780482	782885	FBtr0078006	4	2220	FBgn0041250	Gr21a	0.000000	0.000000 	Q9VPT1
329	2L	+	781276	782885	FBtr0331651	4	1426	FBgn0041250	Gr21a	0.000000	0.000000 	Q9VPT1
330	2L	+	784336	786158	FBtr0078007	1	1823	FBgn0031279	CG3544	0.000000	0.000000 	*
331	2L	+	784336	788776	FBtr0331652	2	4359	FBgn0031279	CG3544	0.000000	0.000000 	*
332	2L	-	786153	790798	FBtr0078042	5	2583	FBgn0000442	Pkg21D	0.000000	0.000000 	Q03042
333	2L	+	799856	800323	FBtr0345453	1	468	FBgn0266797	CR45259	0.000000	0.000000 	*
334	2L	+	810577	811531	FBtr0078008	4	783	FBgn0051658	Nnf1b	20.422733	30.693003 	*
335	2L	+	811584	813380	FBtr0078009	2	1732	FBgn0086130	Dbp21E2	21.435177	32.214588 	*
336	2L	-	813314	815950	FBtr0078041	5	2416	FBgn0031281	Saf6	9.952100	14.956852 	*
337	2L	-	813314	815950	FBtr0332974	5	2407	FBgn0031281	Saf6	0.000000	0.000000 	*
338	2L	+	815993	817032	FBtr0078010	1	1040	FBgn0031282	Pex12	0.000000	0.000000 	Q9VPT5
339	2L	+	815993	818096	FBtr0332972	1	2104	FBgn0031282	Pex12	0.683460	1.027161 	Q9VPT5
340	2L	-	816994	817950	FBtr0078040	2	896	FBgn0031283	CG15880	0.000000	0.000000 	*
341	2L	-	818079	819508	FBtr0078039	2	1370	FBgn0031284	CG3876	14.918248	22.420399 	Q9VPT7
342	2L	+	819964	821209	FBtr0078011	1	1246	FBgn0015621	Clp	20.195024	30.350782 	Q9VPT8
343	2L	+	821289	824337	FBtr0305507	4	1731	FBgn0031285	CG3662	0.000000	0.000000 	*
344	2L	+	821422	824337	FBtr0078012	3	1651	FBgn0031285	CG3662	32.715828	49.168098 	*
345	2L	+	821422	824337	FBtr0100469	2	2849	FBgn0031285	CG3662	0.810161	1.217578 	*
346	2L	+	821422	824337	FBtr0301908	4	1570	FBgn0031285	CG3662	16.570078	24.902908 	*
347	2L	-	824329	825861	FBtr0078038	1	1533	FBgn0031286	CG3862	4.217221	6.337995 	*
348	2L	+	825969	832331	FBtr0332973	6	2825	FBgn0010583	dock	26.906897	40.437946 	*
349	2L	+	825969	833241	FBtr0078013	6	3735	FBgn0010583	dock	1.929591	2.899952 	*
350	2L	+	825969	833241	FBtr0078014	6	3618	FBgn0010583	dock	0.000000	0.000000 	*
351	2L	+	825969	833241	FBtr0078015	6	3583	FBgn0010583	dock	0.000000	0.000000 	*
352	2L	-	833584	842943	FBtr0302121	6	3143	FBgn0020304	drongo	0.000000	0.000000 	*
353	2L	-	833584	851071	FBtr0302120	6	3986	FBgn0020304	drongo	0.000000	0.000000 	*
354	2L	-	833584	851071	FBtr0302612	5	3518	FBgn0020304	drongo	23.406073	35.176613 	*
355	2L	-	833587	842943	FBtr0078037	5	2672	FBgn0020304	drongo	0.000000	0.000000 	*
356	2L	-	834867	851071	FBtr0334763	4	2625	FBgn0020304	drongo	0.554072	0.832706 	*
357	2L	+	850702	851163	FBtr0334793	1	462	FBgn0264869	CR44060	0.000000	0.000000 	*
358	2L	-	851251	852730	FBtr0334797	4	1310	FBgn0031287	CG4291	0.023293	0.035007 	*
359	2L	-	851316	852730	FBtr0078034	4	1245	FBgn0031287	CG4291	9.473483	14.237547 	*
360	2L	+	852768	854539	FBtr0078016	3	1320	FBgn0020545	kraken	0.031624	0.047527 	O18391
361	2L	+	852848	854539	FBtr0334794	3	1240	FBgn0020545	kraken	39.214722	58.935184 	O18391
362	2L	+	855337	856236	FBtr0078017	3	780	FBgn0031288	CG13949	0.000000	0.000000 	*
363	2L	+	855471	856236	FBtr0334795	3	646	FBgn0031288	CG13949	0.000000	0.000000 	*
364	2L	+	855471	856639	FBtr0334796	3	1049	FBgn0031288	CG13949	0.000000	0.000000 	*
365	2L	+	857403	857795	FBtr0345741	1	393	FBgn0266884	CR45345	0.000000	0.000000 	*
366	2L	+	857542	857632	FBtr0304182	1	91	FBgn0262177	mir-375	0.000000	0.000000 	*
367	2L	+	857596	857617	FBtr0304183	1	22	FBgn0262177	mir-375	0.000000	0.000000 	*
368	2L	+	860309	861806	FBtr0078018	3	1073	FBgn0031289	CG13950	0.000000	0.000000 	*
369	2L	-	861849	865861	FBtr0078033	7	2922	FBgn0029095	aru	0.000000	0.000000 	*
370	2L	-	861849	868013	FBtr0078032	6	2903	FBgn0029095	aru	0.013779	0.020708 	*
371	2L	-	861849	868354	FBtr0078031	6	3026	FBgn0029095	aru	1.143093	1.717936 	*
372	2L	-	865366	865493	FBtr0114307	1	128	FBgn0086031	snoRNA:Me28S-U1230	0.000000	0.000000 	*
373	2L	-	868673	869857	FBtr0078030	1	1185	FBgn0020305	dbe	43.593250	65.515602 	Q9VPU8
374	2L	+	870465	874149	FBtr0091487	5	2639	FBgn0053526	PNUTS	0.446461	0.670979 	*
375	2L	+	870465	877038	FBtr0091489	5	4818	FBgn0053526	PNUTS	2.438319	3.664511 	*
376	2L	+	870465	877038	FBtr0332000	6	4030	FBgn0053526	PNUTS	9.164507	13.773192 	*
377	2L	+	871095	874149	FBtr0091486	5	2731	FBgn0053526	PNUTS	0.000000	0.000000 	*
378	2L	-	877172	885141	FBtr0345634	15	7072	FBgn0031292	CG15824	0.000000	0.000000 	*
379	2L	+	877302	878270	FBtr0078023	2	871	FBgn0002936	ninaA	0.000000	0.000000 	P15425
380	2L	-	878181	885141	FBtr0332181	15	6063	FBgn0031292	CG15824	0.000000	0.000000 	*
381	2L	-	897453	898050	FBtr0345739	1	598	FBgn0266887	CR45348	0.000000	0.000000 	*
382	2L	+	898500	901316	FBtr0345738	2	2749	FBgn0002563	Lsp1beta	0.000000	0.000000 	P11996
383	2L	+	898644	901316	FBtr0078025	2	2605	FBgn0002563	Lsp1beta	0.000000	0.000000 	P11996
384	2L	-	901491	901654	FBtr0078028	1	164	FBgn0003916	snRNA:U1:21D	0.780081	1.172371 	*
385	2L	+	904029	904347	FBtr0345455	1	319	FBgn0266799	CR45261	0.000000	0.000000 	*
386	2L	-	912981	913305	FBtr0334798	1	325	FBgn0264870	CR44061	0.000000	0.000000 	*
387	2L	+	914086	917805	FBtr0336969	11	3004	FBgn0046113	GluRIIC	0.000000	0.000000 	*
388	2L	+	922793	958098	FBtr0077949	11	4160	FBgn0028481	CG4341	0.000000	0.000000 	Q9V3X5
389	2L	+	922793	958098	FBtr0305064	10	3801	FBgn0028481	CG4341	0.000000	0.000000 	Q9V3X5
390	2L	-	987899	991300	FBtr0343253	3	2917	FBgn0266036	CR44801	0.000000	0.000000 	*
391	2L	-	1008378	1048053	FBtr0301417	12	9821	FBgn0031294	IA-2	0.000000	0.000000 	*
392	2L	-	1011421	1034582	FBtr0332270	11	6648	FBgn0031294	IA-2	0.000000	0.000000 	*
393	2L	-	1011421	1043218	FBtr0301416	11	6722	FBgn0031294	IA-2	0.000000	0.000000 	*
394	2L	-	1026105	1026897	FBtr0077997	1	793	FBgn0031295	CG4375	0.000000	0.000000 	*
395	2L	+	1037246	1038533	FBtr0301087	1	1288	FBgn0031296	CG4415	0.031056	0.046674 	*
396	2L	+	1037246	1038685	FBtr0077951	2	1368	FBgn0031296	CG4415	0.000000	0.000000 	*
397	2L	-	1049674	1077815	FBtr0077993	5	5206	FBgn0003310	S	22.917595	34.442490 	P42519
398	2L	-	1051792	1077811	FBtr0077994	5	2267	FBgn0003310	S	0.000000	0.000000 	P42519
399	2L	+	1077948	1080803	FBtr0077952	3	2745	FBgn0015905	ast	19.004734	28.561913 	Q9VPW1
400	2L	+	1080911	1083378	FBtr0077953	5	2076	FBgn0031298	Atg4a	22.245665	33.432655 	*
401	2L	+	1080911	1085380	FBtr0332569	5	4075	FBgn0031298	Atg4a	0.000000	0.000000 	*
402	2L	-	1083091	1102504	FBtr0332570	9	3115	FBgn0031299	CG4629	0.000000	0.000000 	*
403	2L	-	1083248	1102504	FBtr0332571	8	2910	FBgn0031299	CG4629	0.000000	0.000000 	*
404	2L	-	1103254	1108373	FBtr0332273	8	4718	FBgn0261938	mtRNApol	13.429420	20.182863 	*
405	2L	-	1103483	1108373	FBtr0077989	8	4489	FBgn0261938	mtRNApol	0.000000	0.000000 	*
406	2L	+	1108540	1112694	FBtr0077954	7	3266	FBgn0031301	CG14339	0.000000	0.000000 	*
407	2L	+	1112941	1114138	FBtr0077955	4	1030	FBgn0031302	CG14340	0.000000	0.000000 	*
408	2L	-	1114654	1119031	FBtr0077988	4	2079	FBgn0016926	Pino	21.555332	32.395168 	Q9VPW8
409	2L	-	1114654	1119031	FBtr0332272	5	2130	FBgn0016926	Pino	0.000000	0.000000 	Q9VPW8
410	2L	-	1114654	1128953	FBtr0077987	5	1980	FBgn0016926	Pino	30.181551	45.359371 	Q9VPW8
